playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
mapelro01,1919,1,SLA,AL,0,3,4,3,2,0,0,60,17,10,0,17,2,0.26,4.5,,0,3,0,85,1,12,,,
marquru01,1919,1,BRO,NL,3,3,8,7,3,0,0,177,54,15,1,10,29,0.24,2.29,,3,0,0,238,0,17,,,
martipa01,1919,1,PHA,AL,0,2,2,2,1,0,0,33,11,5,0,8,6,0.25,4.09,,0,0,0,51,0,8,,,
martisp01,1919,1,CHN,NL,8,8,35,14,7,2,2,491,158,45,2,52,54,0.25,2.47,,6,4,0,679,16,58,,,
mayerer01,1919,1,PIT,NL,5,3,18,10,6,0,1,265,100,44,2,12,20,0.26,4.48,,1,2,0,395,8,50,,,
mayerer01,1919,2,CHA,AL,1,3,6,2,0,0,0,71,30,22,1,11,9,0.31,8.37,,2,0,0,106,1,23,,,
mayja01,1919,1,SLN,NL,3,12,28,19,8,1,0,377,99,45,1,87,58,0.23,3.22,,4,14,1,553,6,64,,,
maysca01,1919,1,BOS,AL,5,11,21,16,14,2,2,438,131,40,3,40,53,0.24,2.47,,4,5,0,576,5,53,,,
maysca01,1919,2,NYA,AL,9,3,13,13,12,1,0,360,96,22,2,37,54,0.21,1.65,,0,5,0,487,0,38,,,
mcgrabo01,1919,1,NYA,AL,1,0,6,0,0,0,0,49,11,6,1,10,3,0.21,3.31,,2,1,0,62,4,6,,,
mcgrabo01,1919,2,BOS,AL,0,2,10,1,0,0,0,80,33,20,0,17,6,0.34,6.75,,2,3,1,115,5,23,,,
mcguito01,1919,1,CHA,AL,0,0,1,0,0,0,0,9,5,3,0,3,0,0.5,9,,0,0,0,13,1,4,,,
mcquihu01,1919,1,BSN,NL,2,3,16,7,2,0,1,180,66,23,3,14,13,0.28,3.45,,0,1,1,255,8,34,,,
meadole01,1919,1,SLN,NL,4,10,22,12,3,1,0,276,100,31,3,30,28,0.29,3.03,,5,2,1,389,7,44,,,
meadole01,1919,2,PHI,NL,8,10,18,17,15,3,0,475,128,41,2,49,88,0.22,2.33,,2,7,0,632,1,55,,,
millefr02,1919,1,PIT,NL,13,12,32,26,16,3,0,605,170,68,6,34,59,0.23,3.03,,2,5,0,795,6,79,,,
mitchcl01,1919,1,BRO,NL,7,5,23,11,9,0,0,326,123,37,0,23,43,0.29,3.06,,2,0,0,451,11,49,,,
mitchro01,1919,1,CIN,NL,0,1,7,1,0,0,0,93,32,8,0,9,10,0.27,2.32,,0,0,0,130,3,16,,,
mitchwi01,1919,1,DET,AL,1,2,3,2,0,0,0,41,12,8,2,10,4,0.25,5.27,,1,1,0,58,0,8,,,
mogrige01,1919,1,NYA,AL,10,7,35,18,13,3,0,507,159,52,6,46,58,0.25,2.77,,4,7,0,720,9,70,,,
mortogu01,1919,1,CLE,AL,9,9,26,20,9,3,0,442,128,46,3,47,64,0.23,2.81,,3,0,0,597,4,65,,,
murrapa01,1919,1,PHI,NL,0,2,8,2,1,0,0,103,50,24,0,12,11,0.34,6.29,,0,4,1,164,6,28,,,
mussepa01,1919,1,BOS,AL,0,2,5,4,1,0,0,59,26,9,0,8,14,0.34,4.12,,0,0,0,84,0,16,,,
myersel01,1919,1,CLE,AL,8,7,23,15,6,1,1,404,134,56,3,43,38,0.26,3.74,,1,10,1,560,4,68,,,
nayloro01,1919,1,PHA,AL,5,18,31,23,17,0,0,614,210,76,2,64,68,0.28,3.34,,2,4,0,819,5,109,,,
nehfar01,1919,1,BSN,NL,8,9,22,19,13,1,0,506,151,58,6,40,53,0.24,3.09,,2,6,0,690,1,66,,,
nehfar01,1919,2,NY1,NL,9,2,13,12,9,2,0,306,70,17,2,19,24,0.19,1.5,,0,2,0,385,1,23,,,
nelsolu01,1919,1,NYA,AL,3,0,9,1,0,0,0,73,22,8,1,11,11,0.24,2.96,,0,1,0,102,4,9,,,
newkijo01,1919,1,CHN,NL,0,0,1,0,0,0,0,6,2,3,0,3,1,0.28,13.5,,1,1,0,11,1,3,,,
northja01,1919,1,BSN,NL,1,5,11,3,2,0,0,112,43,19,2,10,9,0.3,4.58,,1,1,0,156,5,22,,,
noyeswi01,1919,1,PHA,AL,1,5,10,6,3,0,0,147,66,31,1,15,20,0.33,5.69,,0,1,0,215,3,34,,,
noyeswi01,1919,2,CHA,AL,0,0,1,1,0,0,0,18,10,5,0,0,4,0.38,7.5,,0,0,0,26,0,5,,,
odoulle01,1919,1,NYA,AL,0,0,3,0,0,0,0,15,7,2,0,4,2,0.3,3.6,,0,0,0,27,2,6,,,
oeschjo01,1919,1,PHI,NL,0,1,5,4,2,0,0,114,52,25,1,16,5,0.34,5.92,,1,2,0,177,1,29,,,
oeschjo01,1919,2,NY1,NL,0,1,5,1,0,0,0,24,12,4,0,2,3,0.4,4.5,,0,0,0,33,2,4,,,
oeschjo01,1919,3,BSN,NL,4,2,7,7,4,1,0,170,63,16,0,21,16,0.3,2.54,,1,1,0,238,0,19,,,
package01,1919,1,PHI,NL,6,8,21,16,10,1,1,403,167,62,3,30,24,0.32,4.15,,0,4,0,569,5,70,,,
parkero01,1919,1,SLN,NL,0,0,2,0,0,0,0,6,6,7,0,1,0,0.33,31.5,,0,1,0,20,1,7,,,
pennohe01,1919,1,BOS,AL,16,8,32,26,16,5,0,657,223,66,2,48,70,0.27,2.71,,7,3,0,866,5,78,,,
perripo01,1919,1,NY1,NL,1,1,11,3,0,0,1,57,27,15,0,12,2,0.38,7.11,,0,2,0,92,5,18,,,
perrysc01,1919,1,PHA,AL,4,17,25,21,12,0,1,551,193,73,4,72,38,0.28,3.58,,4,2,1,758,3,92,,,
pfeffje01,1919,1,BRO,NL,17,13,30,30,26,4,0,801,270,79,7,49,92,0.26,2.66,,1,12,0,1099,0,95,,,
phillto01,1919,1,CLE,AL,3,2,22,3,2,0,0,165,55,18,2,34,18,0.27,2.95,,2,3,0,239,12,27,,,
pierswi01,1919,1,PHA,AL,0,0,2,1,0,0,0,23,9,3,0,8,4,0.33,3.52,,0,0,0,35,1,3,,,
pondeel01,1919,1,PIT,NL,0,5,9,5,0,0,0,142,55,21,0,6,6,0.29,3.99,,2,3,0,204,2,26,,,
prendmi01,1919,1,PHI,NL,0,1,5,0,0,0,0,45,20,14,0,10,5,0.35,8.4,,1,1,0,75,2,15,,,
quinnja01,1919,1,NYA,AL,15,14,38,31,18,4,0,798,242,77,8,65,97,0.24,2.61,,5,6,0,1062,6,96,,,
raganpa01,1919,1,BSN,NL,0,2,4,3,0,0,0,38,16,10,0,3,3,0.28,7.11,,0,0,0,61,1,13,,,
raganpa01,1919,2,NY1,NL,1,0,7,1,1,0,0,68,19,4,0,14,7,0.24,1.59,,0,0,0,98,2,7,,,
raganpa01,1919,3,CHA,AL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0,,0,0,0,4,1,0,,,
reganmi01,1919,1,CIN,NL,0,0,1,0,0,0,0,7,1,0,0,0,1,0.14,0,,0,0,0,8,0,1,,,
reinhar01,1919,1,SLN,NL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,,,
ringji01,1919,1,CIN,NL,10,9,32,18,12,2,3,549,150,46,1,51,61,0.23,2.26,,5,3,0,714,7,53,,,
rixeyep01,1919,1,PHI,NL,6,12,23,18,11,1,0,462,160,68,4,50,63,0.27,3.97,,5,3,0,652,4,88,,,
roberch01,1919,1,CHA,AL,0,1,1,1,0,0,0,6,5,2,0,0,1,0.55,9,,0,0,0,9,0,2,,,
roberdi01,1919,1,WS1,AL,0,1,7,4,0,0,0,83,25,7,1,9,7,0.25,2.28,,0,0,0,108,2,11,,,
roberra01,1919,1,PHA,AL,0,2,3,2,0,0,0,42,21,12,0,3,2,0.36,7.71,,0,0,0,60,0,14,,,
rogerto01,1919,1,SLA,AL,0,1,2,0,0,0,0,3,7,3,0,0,1,0.7,27,,2,0,1,10,0,3,,,
rogerto01,1919,2,PHA,AL,4,12,23,18,7,1,0,420,152,67,9,60,37,0.29,4.31,,1,3,0,583,5,85,,,
rudoldi01,1919,1,BSN,NL,13,18,37,32,24,2,2,821,282,66,2,54,76,0.27,2.17,,11,3,1,1125,5,95,,,
ruethdu01,1919,1,CIN,NL,19,6,33,29,20,3,0,728,195,49,1,83,78,0.22,1.82,,5,7,0,983,3,69,,,
russeal01,1919,1,NYA,AL,5,5,23,9,4,1,1,272,89,35,6,32,50,0.25,3.47,,3,2,0,388,9,48,,,
russeal01,1919,2,BOS,AL,10,4,21,11,9,1,4,364,105,34,0,39,63,0.24,2.52,,2,1,0,467,10,38,,,
russere01,1919,1,CHA,AL,0,0,1,0,0,0,0,0,1,0,0,1,0,1,,,0,0,0,2,0,0,,,
ruthba01,1919,1,BOS,AL,9,5,17,15,12,0,1,400,148,44,2,58,30,0.29,2.97,,5,2,1,591,2,59,,,
ryanro01,1919,1,NY1,NL,1,2,4,3,1,0,0,61,20,7,0,9,7,0.26,3.1,,0,1,0,88,1,9,,,
sallesl01,1919,1,CIN,NL,21,7,29,28,22,4,0,683,221,52,4,20,24,0.25,2.06,,0,1,0,893,1,63,,,
schacal01,1919,1,WS1,AL,2,0,2,2,1,0,0,45,14,4,0,4,4,0.23,2.4,,0,0,0,64,0,5,,,
schnepe01,1919,1,NYA,AL,0,1,7,4,0,0,0,87,19,11,1,22,11,0.19,3.41,,2,3,0,124,1,14,,,
schupfe01,1919,1,NY1,NL,1,3,9,4,0,0,1,96,32,20,2,18,17,0.26,5.63,,2,0,0,142,3,24,,,
schupfe01,1919,2,SLN,NL,4,4,10,9,6,0,0,209,55,29,2,30,37,0.22,3.75,,3,1,0,288,1,31,,,
scottja01,1919,1,BSN,NL,6,6,19,12,7,0,1,311,109,36,3,39,44,0.27,3.13,,1,1,0,445,6,47,,,
seiboso01,1919,1,PHA,AL,2,3,14,4,1,0,0,137,58,27,2,26,19,0.32,5.32,,3,4,1,210,3,34,,,
shawji01,1919,1,WS1,AL,17,17,45,37,23,3,5,920,274,93,5,101,128,0.24,2.73,,10,5,0,1229,6,115,,,
shawkbo01,1919,1,NYA,AL,20,11,41,27,22,3,5,784,218,79,7,92,122,0.23,2.72,,1,5,0,1041,9,94,,,
shellfr01,1919,1,CHA,AL,1,3,8,4,2,0,0,105,40,20,1,16,10,0.3,5.14,,0,0,0,148,4,24,,,
sherdbi01,1919,1,SLN,NL,5,9,36,10,7,0,1,412,137,53,3,42,52,0.27,3.47,,4,2,1,567,16,66,,,
shockur01,1919,1,SLA,AL,13,11,30,25,14,5,0,633,193,63,6,55,86,0.24,2.69,,2,4,0,850,5,75,,,
shoreer01,1919,1,NYA,AL,5,8,20,13,3,0,0,285,105,44,4,44,24,0.28,4.17,,1,1,0,410,3,50,,,
smallwa01,1919,1,NYA,AL,0,0,6,0,0,0,0,65,20,12,1,9,6,0.26,4.98,,0,2,0,87,3,12,,,
smithge02,1919,1,NY1,NL,0,2,3,2,0,0,0,33,18,7,1,4,0,0.38,5.73,,0,0,0,52,1,8,,,
smithge02,1919,2,PHI,NL,5,11,31,20,11,1,0,554,194,66,7,46,42,0.27,3.22,,3,3,1,770,9,94,,,
smithsh01,1919,1,BRO,NL,7,12,30,19,13,2,1,519,181,43,3,29,40,0.27,2.24,,0,4,0,703,10,63,,,
snoveco01,1919,1,NY1,NL,0,1,2,1,0,0,0,27,7,1,0,3,4,0.21,1,,0,1,0,38,0,5,,,
snydebi01,1919,1,WS1,AL,0,1,2,1,0,0,0,24,6,1,0,3,5,0.2,1.13,,0,0,0,33,1,4,,,
sothoal01,1919,1,SLA,AL,20,13,40,30,21,3,3,810,256,66,4,87,106,0.24,2.2,,8,10,2,1136,9,101,,,
steelbo01,1919,1,NY1,NL,0,1,1,0,0,0,0,9,3,2,0,2,0,0.25,6,,0,0,0,15,1,3,,,
sullijo03,1919,1,CHA,AL,0,1,4,2,1,0,0,45,24,7,0,8,9,0.36,4.2,,0,1,0,75,2,15,,,
thompha01,1919,1,WS1,AL,0,3,12,2,0,0,1,130,48,17,0,8,10,0.29,3.53,,1,2,0,174,9,21,,,
thompha01,1919,2,PHA,AL,0,1,3,0,0,0,0,36,16,9,4,3,1,0.32,6.75,,0,0,0,52,2,9,,,
thormha01,1919,1,NYA,AL,12,10,30,25,13,2,1,566,155,55,10,61,62,0.22,2.62,,1,4,0,745,3,69,,,
toneyfr01,1919,1,NY1,NL,13,6,24,20,14,4,1,543,157,37,6,35,40,0.23,1.84,,1,2,1,718,3,47,,,
tueroos01,1919,1,SLN,NL,5,7,45,17,4,0,4,464,137,55,4,42,45,0.24,3.2,,5,10,1,630,20,71,,,
tylerle01,1919,1,CHN,NL,2,2,6,5,3,0,0,90,20,7,0,13,9,0.19,2.1,,0,0,0,119,0,8,,,
