playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
aberal01,1955,1,DET,AL,6,3,39,1,0,0,3,240,86,30,9,28,37,0.27,3.38,1,1,0,0,346,22,32,,,
abernte02,1955,1,WS1,AL,5,9,40,14,3,2,0,358,136,79,9,67,79,0.29,5.96,1,2,7,0,553,12,87,,,
aguirha01,1955,1,CLE,AL,2,0,4,1,1,1,0,38,6,2,0,12,6,0.14,1.42,0,1,0,0,54,1,3,,,
alexabo01,1955,1,BAL,AL,1,0,4,0,0,0,0,12,8,6,0,2,1,0.44,13.5,0,1,1,0,22,2,6,,,
amorvi01,1955,1,CHN,NL,0,1,4,0,0,0,0,18,11,3,0,3,3,0.4,4.5,1,1,0,1,31,3,3,,,
andrejo01,1955,1,CHN,NL,0,1,22,3,0,0,1,135,45,29,7,28,19,0.25,5.8,4,1,1,0,207,5,34,,,
antonjo02,1955,1,NY1,NL,14,16,38,34,14,2,1,706,206,87,24,82,143,0.23,3.33,5,3,11,0,986,1,105,,,
arroylu01,1955,1,SLN,NL,11,8,35,24,9,1,0,477,162,74,22,63,68,0.26,4.19,6,6,2,0,691,6,80,,,
baczefr01,1955,1,CIN,NL,0,0,1,0,0,0,0,3,2,2,2,0,0,0.4,18,0,0,0,0,5,0,2,,,
baumafr01,1955,1,BOS,AL,2,1,7,5,0,0,0,102,38,22,2,17,27,0.28,5.82,0,2,1,0,156,2,28,,,
bellbi01,1955,1,PIT,NL,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,1,0,,,
bessedo01,1955,1,BRO,NL,8,1,24,2,1,0,3,190,51,19,7,21,29,0.22,2.7,2,1,0,0,255,8,19,,,
birreba01,1955,1,DET,AL,4,3,36,3,1,0,3,241,77,37,9,29,28,0.24,4.15,4,0,0,0,343,15,39,,,
bishoch01,1955,1,KC1,AL,1,0,4,0,0,0,0,20,6,4,1,8,4,0.26,5.4,2,0,3,0,36,2,7,,,
blackbu01,1955,1,DET,AL,1,1,3,2,1,1,0,42,12,2,0,8,7,0.23,1.29,0,1,2,0,63,0,5,,,
blackew01,1955,1,KC1,AL,0,1,2,0,0,0,0,12,3,3,1,5,2,0.25,6.75,0,0,1,0,18,2,3,,,
blackjo02,1955,1,BRO,NL,1,0,6,0,0,0,0,46,15,5,1,5,9,0.27,2.93,1,0,0,1,62,2,5,,,
blackjo02,1955,2,CIN,NL,5,2,32,11,1,0,3,307,106,48,13,25,54,0.26,4.22,3,0,0,1,439,13,58,,,
bowmaro01,1955,1,PIT,NL,0,3,7,2,0,0,0,50,25,16,2,10,8,0.34,8.64,2,4,1,0,85,1,18,,,
boyercl01,1955,1,KC1,AL,5,5,30,11,2,0,0,295,107,68,21,69,32,0.28,6.22,3,3,7,0,466,12,81,,,
breweto01,1955,1,BOS,AL,11,10,31,28,9,2,0,578,198,90,21,87,91,0.26,4.2,3,7,8,0,856,1,101,,,
brododi01,1955,1,BOS,AL,1,0,16,0,0,0,0,96,36,20,5,25,10,0.29,5.63,2,1,1,1,153,6,25,,,
brownha01,1955,1,BOS,AL,1,0,2,0,0,0,0,12,2,1,0,2,2,0.14,2.25,0,0,0,0,16,1,1,,,
brownha01,1955,2,BAL,AL,0,4,15,5,1,0,0,171,51,26,5,26,26,0.24,4.11,1,3,0,0,246,3,30,,,
buhlbo01,1955,1,ML1,NL,13,11,38,27,11,1,1,605,168,72,13,109,117,0.22,3.21,5,2,1,0,866,6,85,,,
bunniji01,1955,1,DET,AL,3,5,15,8,0,0,1,153,59,36,8,32,37,0.29,6.35,2,1,3,0,241,3,38,,,
burdele01,1955,1,ML1,NL,13,8,42,33,11,2,0,690,253,103,25,73,70,0.28,4.03,9,3,6,1,1001,4,114,,,
burnspe01,1955,1,NY1,NL,1,0,2,2,1,0,0,38,10,4,1,9,2,0.2,2.84,0,0,0,0,58,0,9,,,
burtsmo01,1955,1,KC1,AL,2,0,7,0,0,0,0,34,17,13,0,10,9,0.35,10.32,1,0,1,0,60,0,13,,,
byrdha01,1955,1,BAL,AL,3,2,14,8,1,1,1,196,64,33,7,28,25,0.26,4.55,1,0,7,0,287,3,33,,,
byrdha01,1955,2,CHA,AL,4,6,25,12,1,1,1,273,85,47,10,30,44,0.25,4.65,4,1,2,0,380,6,49,,,
byrneto01,1955,1,NYA,AL,16,5,27,22,9,3,2,480,137,56,12,87,76,0.23,3.15,3,3,7,0,689,4,69,,,
ceccaar01,1955,1,KC1,AL,4,7,31,16,3,1,0,371,123,73,20,71,68,0.25,5.31,2,4,0,1,557,6,81,,,
chakabo01,1955,1,CHA,AL,0,0,7,0,0,0,0,37,11,2,2,6,6,0.25,1.46,1,0,0,0,50,4,2,,,
chakabo01,1955,2,WS1,AL,2,3,29,0,0,0,0,164,55,32,4,25,28,0.26,5.27,3,2,1,1,242,11,38,,,
churcbu01,1955,1,CHN,NL,0,0,2,0,0,0,1,10,4,2,1,1,3,0.28,5.4,0,0,0,0,15,1,2,,,
clarkwe01,1955,1,WS1,AL,0,0,7,2,0,0,0,64,17,11,2,14,9,0.22,4.64,0,0,0,0,93,5,11,,,
cohenhy01,1955,1,CHN,NL,0,0,7,1,0,0,0,51,28,15,2,10,4,0.37,7.94,0,0,1,0,86,0,17,,,
coleda01,1955,1,PHI,NL,0,3,7,3,0,0,0,55,21,13,3,14,6,0.3,6.38,0,1,0,0,88,4,15,,,
colemjo04,1955,1,BAL,AL,0,1,6,2,0,0,0,35,19,14,5,10,4,0.37,10.8,0,0,1,1,66,2,15,,,
colemjo04,1955,2,DET,AL,2,1,17,0,0,0,3,76,22,9,1,14,5,0.23,3.2,0,1,1,0,109,13,9,,,
